num,Year,districts,Total,Totalu5,ZS
1,2014,BANIKOARA,253840,46725,Banikoara (ZS)
2,2014,GOGOUNOU,120986,23654,Kandi-Gogounou-Ségbana  
3,2014,KANDI,184572,34987,Kandi-Gogounou-Ségbana  
4,2014,KARIMAMA,68308,13139,Malanville-Karimama  
5,2014,MALANVILLE,173610,32457,Malanville-Karimama  
6,2014,SEGBANA,91706,18513,Kandi-Gogounou-Ségbana  
7,2014,BOUKOUMBE,84879,15157,Natitingou-Boukoumbé-Toucountouna  
8,2014,COBLY,69595,13348,Tanguiéta-Cobly-Matéri  
9,2014,KEROU,103149,20946,Kouandé-Péhunco-Kérou  
10,2014,KOUANDE,114826,21406,Kouandé-Péhunco-Kérou  
11,2014,MATERI,117316,20850,Tanguiéta-Cobly-Matéri  
12,2014,NATITINGOU,106903,16880,Natitingou-Boukoumbé-Toucountouna  
13,2014,PEHUNCO,80522,15820,Kouandé-Péhunco-Kérou  
14,2014,TANGUIETA,77122,13624,Tanguiéta-Cobly-Matéri  
15,2014,TOUCOUNTOUNA,40951,7045,Natitingou-Boukoumbé-Toucountouna  
16,2014,ABOMEY-CALAVI,675696,105882,Abomey-Calavi-So-ava  
17,2014,ALLADA,131269,21182,Allada-Toffo-Zè  
18,2014,KPOMASSE,69641,10475,Ouidah-Kpomassè-Tori-Bossito  
19,2014,OUIDAH,166808,27395,Ouidah-Kpomassè-Tori-Bossito  
20,2014,SO-AVA,122040,22299,Abomey-Calavi-So-ava  
21,2014,TOFFO,104578,16636,Allada-Toffo-Zè  
22,2014,TORI-BOSSITO,59330,9775,Ouidah-Kpomassè-Tori-Bossito  
23,2014,ZE,110063,18972,Allada-Toffo-Zè  
24,2014,BEMBEREKE,135122,24255,Bembèrèkè-Sinendé  
25,2014,KALALE,173858,37411,Nikki-Kalalé-Pèrèrè  
26,2014,N'DALI,116951,22422,N'Dali-Parakou  
27,2014,NIKKI,155688,31560,Nikki-Kalalé-Pèrèrè  
28,2014,PARAKOU,263005,38349,N'Dali-Parakou  
29,2014,PERERE,81315,17865,Nikki-Kalalé-Pèrèrè  
30,2014,SINENDE,94373,18488,Bembèrèkè-Sinendé  
31,2014,TCHAOUROU,229712,43978,Tchaourou (ZS)  
32,2014,BANTE,110339,17429,Savalou-Bantè  
33,2014,DASSA-ZOUME,115425,18393,Dassa-Glazoué  
34,2014,GLAZOUE,128097,19023,Dassa-Glazoué  
35,2014,OUESSE,146201,22298,Savè-Ouèssè  
36,2014,SAVALOU,148808,25036,Savalou-Bantè  
37,2014,SAVE,89745,13406,Savè-Ouèssè  
38,2014,APLAHOUE,176150,28970,Aplahoué-Djakotomey-Dogbo  
39,2014,DJAKOTOME,137977,21099,Aplahoué-Djakotomey-Dogbo  
40,2014,DOGBO,106093,15310,Aplahoué-Djakotomey-Dogbo  
41,2014,KLOUEKANME,132386,21985,Klouékamè-Toviklin-Lalo  
42,2014,LALO,123459,20101,Klouékamè-Toviklin-Lalo  
43,2014,TOVIKLIN,91222,14329,Klouékamè-Toviklin-Lalo  
44,2014,BASSILA,133924,22677,Bassila (ZS)  
45,2014,COPARGO,73028,10786,Djougou-Ouaké-Copargo  
46,2014,DJOUGOU,275703,46527,Djougou-Ouaké-Copargo  
47,2014,OUAKE,76478,11490,Djougou-Ouaké-Copargo  
48,2014,COTONOU,699018,97500,Cotonou  
49,2014,ATHIEME,58147,8787,Lokossa-Athiémè  
50,2014,BOPA,99118,15116,Comè-Grand popo-Houèyogbé-Bopa  
51,2014,COME,82346,12077,Comè-Grand popo-Houèyogbé-Bopa  
52,2014,GRAND-POPO,59334,8508,Comè-Grand popo-Houèyogbé-Bopa  
53,2014,HOUEYOGBE,104895,15553,Comè-Grand popo-Houèyogbé-Bopa  
54,2014,LOKOSSA,108053,16277,Lokossa-Athiémè  
55,2014,ADJARRA,100294,16508,Akpro-missérété-Avrankou-Adjarra  
56,2014,ADJOHOUN,77542,12323,Adjohoun-Bonou-Dangbo  
